t,x,y,p
0,101,234,0
10,230,293,1
17,345,351,1
38,337,316,1
60,103,231,1
67,231,315,0
91,223,290,1
94,223,258,1
105,105,233,1
121,102,230,0
129,215,251,0
132,187,248,1
160,103,228,0
189,104,234,0
191,104,228,0
198,117,311,0
218,334,339,0
231,105,232,1
238,101,236,1
238,135,345,0
275,103,229,0
284,105,234,0
319,337,318,0
372,335,321,0
402,102,235,0
414,599,244,1
419,598,245,0
421,176,264,1
433,332,323,0
458,346,341,0
465,600,248,1
478,102,229,1
506,103,230,1
507,164,259,1
625,166,260,0
654,333,350,1
659,222,269,1
665,233,299,1
838,132,317,1
904,221,298,1
910,131,332,0
934,101,233,0
1026,341,335,0
1095,334,322,0
1122,347,332,1
1178,223,262,0
1241,334,344,0
1247,331,348,1
1248,78,281,1
1260,134,320,0
1264,127,345,1
1369,336,320,0
1399,337,319,0
1405,231,291,1
1431,125,312,1
1510,122,317,0
1559,335,339,1
1671,224,259,0
1689,119,340,1
1717,349,331,0
1804,133,322,1
1890,348,331,0
1891,78,264,0
1994,122,319,0
2023,131,336,1
2024,333,336,1
2043,134,319,0
2105,346,349,0
2168,178,255,1
2205,332,326,0
2224,167,259,0
2278,334,333,1
2284,349,328,0
2328,130,327,0
2407,132,338,1
2460,116,318,0
2509,345,348,0
2567,122,320,0
2584,331,349,1
2707,96,274,0
2733,118,341,1
2846,122,321,1
2848,230,292,1
2862,598,245,0
2882,345,347,1
2893,134,322,0
3020,167,260,0
3022,134,343,0
3024,597,251,1
3065,223,263,0
3088,597,250,0
3131,595,251,0
3136,332,329,1
3154,598,248,1
3215,599,250,1
3241,122,322,0
3263,231,289,1
3294,595,248,0
3311,594,248,0
3348,593,249,1
3351,593,248,0
3404,594,246,0
3411,593,245,0
3433,593,246,0
3473,337,321,0
3544,335,340,0
3565,130,333,1
3581,599,246,1
3591,223,257,1
3595,131,335,1
3623,231,294,1
3651,347,343,1
3691,346,347,1
3781,132,337,0
3826,122,323,1
3885,211,249,0
3894,337,329,1
3993,599,244,1
4017,224,264,1
4072,600,248,1
4097,213,253,0
4099,221,270,0
4115,345,349,0
4130,127,341,0
4198,346,344,0
4247,134,313,1
4320,336,321,1
4328,993,514,1
4366,177,252,0
4407,595,225,1
4423,335,341,1
4524,346,348,0
4627,342,352,0
4658,131,313,1
4661,333,349,1
4673,253,259,0
4673,345,350,0
4674,595,230,1
4727,333,330,1
4766,122,325,1
4788,86,281,1
4887,180,251,0
4893,349,329,0
4900,592,228,0
4911,346,346,1
4911,345,352,1
4931,220,270,0
4992,119,300,0
5012,348,329,1
5075,100,230,1
5098,336,338,0
5099,101,229,0
5129,130,328,0
5158,180,250,1
5205,133,326,0
5223,167,258,1
5256,133,320,0
5307,130,329,1
5349,223,291,0
5393,103,234,0
5431,105,228,1
5445,103,232,0
5487,333,335,0
5495,993,510,1
5499,104,234,1
5550,223,267,0
5619,100,233,1
5644,168,260,0
5658,185,247,1
5668,100,231,1
5673,128,306,1
5718,98,230,1
5758,97,231,0
