t,x,y,p
0,639,474,1
52,1173,407,0
67,324,124,0
68,790,632,0
74,639,463,0
98,287,427,0
107,581,149,0
164,803,275,1
171,1076,472,1
176,24,7,0
188,1123,209,0
255,369,439,0
261,639,464,0
293,639,475,1
306,639,467,0
352,640,476,1
427,324,665,1
440,389,288,0
442,563,527,1
445,717,640,1
453,858,586,0
462,291,493,0
487,211,417,1
487,123,515,0
491,639,476,1
540,640,477,1
549,443,409,0
577,76,684,0
582,1055,313,0
607,801,278,1
607,856,174,1
614,415,388,1
615,639,468,0
631,401,61,0
643,1202,443,1
649,166,559,0
668,510,646,1
704,419,289,1
736,817,286,0
742,639,466,0
772,640,478,1
838,214,605,1
944,485,449,0
950,523,483,0
980,670,487,1
994,640,479,1
1023,853,708,0
1028,962,453,0
1045,717,637,0
1051,546,520,0
1053,530,332,0
1082,360,353,1
1098,867,548,1
1111,1191,451,1
1132,445,421,0
1152,187,639,0
1187,640,480,1
1193,659,703,0
1206,639,472,0
1257,180,354,0
1291,830,226,1
1360,291,534,1
1386,1126,550,0
1416,640,481,1
1430,324,124,0
1481,497,200,0
1530,107,712,1
1531,407,521,0
1544,991,490,1
1594,639,471,0
1608,640,482,1
1623,786,305,1
1631,558,547,1
1668,296,624,1
1669,395,398,1
1671,790,632,0
1673,867,550,1
1680,796,288,1
1705,684,176,0
1731,953,502,0
1742,912,57,1
1767,1252,232,1
1820,293,573,0
1851,460,658,0
1860,640,483,1
1863,1250,289,1
1869,145,407,1
1873,548,643,0
1903,389,288,0
1910,1055,313,0
1957,282,417,1
1973,401,61,0
1980,1193,446,1
1991,858,586,0
2019,1169,408,0
2024,810,262,1
2037,916,48,1
2053,640,484,1
2056,606,443,1
2057,1150,528,1
2061,640,472,0
2107,867,551,1
2141,639,473,0
2142,795,270,0
2144,861,514,1
2154,404,442,1
2179,582,607,1
2181,216,509,1
2213,378,696,0
2232,758,167,0
2233,817,286,0
2253,640,485,1
2299,581,149,0
2348,1187,462,1
2405,867,552,1
2419,640,476,0
2421,123,515,0
2423,1156,411,0
2436,713,414,0
2450,544,407,0
2465,658,44,0
2518,848,190,1
2531,751,349,0
2554,1139,543,1
2559,640,486,1
2575,633,695,0
2607,298,430,0
2625,24,7,0
2640,771,649,1
2640,1161,409,0
2644,638,460,0
2664,1252,128,1
2700,291,493,0
2713,1123,209,0
2723,7,716,0
2748,519,621,0
2755,1140,542,1
2756,797,285,1
2780,530,332,0
2780,321,621,0
2802,1183,471,1
2818,718,650,1
2819,359,472,1
2820,1253,208,1
2821,1192,450,1
2827,324,124,0
2837,1179,479,1
2974,822,240,1
2981,207,712,0
2994,1246,346,1
3004,718,651,1
3005,1186,464,1
3047,1070,473,1
3121,235,515,1
3139,1249,308,1
3149,497,200,0
3187,384,591,0
3204,867,554,1
3229,1075,612,1
3234,335,588,1
3236,1055,313,0
3275,1001,668,1
3285,790,632,0
3302,718,652,1
3304,659,703,0
3311,401,61,0
3318,1205,405,0
3336,640,479,0
3354,87,663,0
3356,1252,217,1
3372,210,705,0
3386,640,480,0
3390,868,554,1
3394,685,705,0
3412,867,550,0
3416,144,408,1
3449,1247,336,1
3459,718,653,1
3477,639,476,0
3492,591,557,1
3493,445,421,0
3495,341,236,1
3511,815,253,1
3511,858,586,0
3516,971,686,1
3525,1198,444,1
3531,590,559,1
3559,443,409,0
3587,1,497,0
3592,330,563,0
3596,1130,545,0
3607,1090,469,1
3636,302,421,0
3639,868,555,1
3642,640,473,0
3672,1190,455,1
3677,1250,293,1
3694,210,706,0
3710,1131,543,0
3723,718,654,1
3746,817,286,0
3765,1182,405,0
3781,287,441,1
3805,1240,414,1
3805,1132,542,0
3806,1257,409,0
3819,402,642,0
3865,640,481,0
3887,718,655,1
3893,853,179,1
3914,953,502,0
3924,132,523,1
3948,430,633,1
3986,1082,606,1
3992,640,485,0
3995,735,393,1
4010,681,473,1
4013,854,178,1
4031,1056,620,0
4044,936,2,1
4062,641,493,1
4064,21,622,0
4091,327,644,1
4098,1253,158,1
4149,718,656,1
4197,816,230,0
4212,324,124,0
4224,1192,393,0
4233,380,694,0
4240,304,646,0
4257,565,604,0
4328,868,557,1
4339,916,711,1
4349,1136,547,1
4365,1276,489,1
4379,109,299,1
4391,123,515,0
4402,1253,142,1
4428,805,272,1
4456,718,657,1
4460,1073,542,1
4466,764,630,0
4490,581,149,0
4508,867,552,0
4520,377,697,0
4550,530,332,0
4551,410,468,0
4572,1055,313,0
4616,718,658,1
4649,772,331,1
4660,1189,457,1
4665,868,558,1
4672,640,484,0
4680,994,489,1
4683,401,61,0
4692,1034,645,1
4783,497,200,0
4843,1194,389,0
4880,718,659,1
4902,876,133,1
4913,790,632,0
4916,868,559,1
4918,205,671,0
4938,337,260,1
4940,901,79,1
4941,875,136,1
4949,1035,438,0
5035,858,586,0
5061,24,7,0
5076,404,394,1
5101,718,650,0
5101,812,238,0
5128,718,660,1
5141,901,80,1
5152,464,222,0
5195,984,634,1
5217,308,408,0
5241,930,705,1
5254,640,482,0
5254,571,620,1
5276,640,483,0
5278,817,286,0
5282,1123,209,0
5310,1269,325,0
5311,1185,404,0
5340,718,661,1
5351,924,29,1
5375,823,238,1
5376,780,297,0
5400,921,35,1
5408,206,681,0
5449,868,560,1
5454,137,447,1
5454,215,605,1
5484,898,85,1
5527,718,654,0
5535,190,474,1
5553,391,288,1
5556,1253,202,1
5585,324,124,0
5589,322,447,0
5594,1001,632,1
5610,718,662,1
5645,718,655,0
5653,659,703,0
5677,1133,541,0
5697,981,680,1
5713,765,343,1
5723,93,383,0
5724,965,689,1
5725,718,653,0
5732,1199,268,1
5742,1200,287,1
5776,718,651,0
5790,868,561,1
5798,718,663,1
5877,1055,313,0
5891,445,421,0
5894,1253,168,1
5898,718,652,0
5918,788,283,0
5927,910,61,1
5940,798,284,1
5946,1128,547,0
5978,242,443,0
6020,401,61,0
6047,243,501,0
6054,508,694,1
6058,718,664,1
6061,687,466,1
6096,953,502,0
6098,1242,412,1
6101,1246,349,1
6146,1179,480,1
6151,868,562,1
6159,718,656,0
6178,1200,293,1
6189,889,104,1
6210,1243,378,1
6211,889,468,0
6212,887,510,1
6214,794,291,1
6218,566,589,1
6223,1253,129,1
6238,275,183,0
6263,658,44,0
6280,1241,425,1
6292,1253,196,1
6301,530,332,0
6310,718,665,1
6312,1143,537,1
6312,944,457,0
6316,829,227,1
6322,1181,460,0
6346,389,288,0
6356,841,204,1
6376,1248,323,1
6380,718,658,0
6391,570,596,1
6395,497,200,0
6398,1161,21,0
6419,443,409,0
6434,123,515,0
6435,338,590,0
6445,902,78,1
6454,50,710,0
6460,956,589,0
6466,819,246,1
6469,825,235,1
6470,868,563,1
6475,892,97,1
6492,566,590,1
6496,1167,627,0
6510,790,632,0
6520,706,137,0
6525,1059,476,1
6528,858,586,0
6533,718,666,1
6549,899,83,1
6552,1245,360,1
6561,210,707,0
6577,1052,477,1
6603,776,323,1
6612,342,231,1
6614,930,17,1
6618,132,515,1
6622,991,633,1
6622,562,639,1
6656,581,149,0
6658,183,612,1
6679,294,396,0
6687,819,612,0
6697,1243,405,1
6716,718,657,0
6718,1279,479,1
6734,208,706,1
6747,1039,642,1
6755,868,558,0
6759,1247,329,1
6779,718,667,1
6779,114,678,0
6781,1184,468,1
6782,817,286,0
6783,163,122,1
6794,911,58,1
6814,868,564,1
6816,1173,457,1
6817,689,679,0
6818,218,606,0
6876,812,259,1
6880,107,322,1
6913,1195,401,0
6914,96,332,0
6926,429,635,1
6995,1002,667,1
6996,324,124,0
6997,1185,189,0
7004,799,262,0
7005,101,262,0
7022,718,668,1
7034,352,474,1
7055,794,271,0
7078,117,147,0
7084,868,559,0
7088,806,269,1
7110,794,290,1
7127,416,706,0
7140,942,700,1
7147,878,102,0
7152,764,630,0
7172,1055,313,0
7177,1180,463,0
7181,718,661,0
7189,642,508,1
7189,1174,95,0
7192,876,107,0
7213,1192,158,1
7229,1268,513,1
7234,868,565,1
7234,816,229,0
7237,1195,350,0
7243,1240,421,1
7253,718,660,0
7258,1055,603,0
7269,104,336,1
7287,718,669,1
7309,875,108,0
7316,84,506,0
7327,4,508,0
7337,401,61,0
7345,1154,511,0
7355,684,176,0
7363,642,509,1
7383,718,659,0
7392,294,397,0
7420,838,210,1
7430,1154,521,1
7431,24,7,0
7441,1252,242,1
7449,1252,227,1
7461,208,368,0
7475,224,389,0
7477,1249,45,1
7483,150,292,0
7498,147,508,0
7502,195,139,1
7534,718,670,1
7545,432,636,0
7565,642,510,1
7591,868,566,1
7592,897,87,1
7601,329,355,1
7623,597,348,0
7641,1195,354,0
7650,1137,536,0
7661,547,644,0
7667,1194,323,0
7673,868,561,0
7708,903,716,1
7716,153,409,0
7736,718,663,0
7755,718,671,1
7757,659,703,0
7761,642,511,1
7787,884,117,1
7789,718,666,0
7790,1056,628,1
7792,1123,209,0
7796,885,113,1
7797,1159,586,1
7816,966,688,1
7846,1060,624,1
7848,875,109,0
7873,392,284,1
7875,1192,159,1
7882,507,686,0
7888,1193,301,0
7921,1190,395,0
7958,1251,274,1
7967,530,332,0
7970,286,431,0
7982,642,512,1
7989,1251,262,1
7994,410,473,0
7998,1146,533,1
8013,201,690,0
8017,1252,122,1
8020,718,672,1
8037,192,317,0
8038,643,512,1
8048,497,200,0
8050,858,586,0
8067,862,136,0
8086,242,235,0
8091,512,645,1
8091,795,289,1
8104,926,24,1
8126,790,632,0
8140,718,667,0
8152,879,127,1
8153,1143,527,0
8160,91,384,0
8175,346,449,0
8179,642,513,1
8182,566,594,1
8208,953,502,0
8213,887,109,1
8213,718,664,0
8229,816,251,1
8235,1186,463,1
8245,739,370,0
8253,856,150,0
8254,718,673,1
8257,1122,555,0
8258,643,513,1
8270,1186,465,1
8272,349,625,0
8288,249,711,0
8302,784,289,0
8302,817,286,0
8310,445,421,0
8316,477,631,0
8321,1264,525,1
8328,868,568,1
8351,1247,327,1
8351,123,515,0
8366,706,137,0
8386,324,124,0
8395,868,560,0
8397,383,332,1
8410,782,313,1
8416,1243,408,1
8418,1273,498,1
8421,556,597,0
8427,643,514,1
8430,642,514,1
8440,1248,28,1
8444,867,554,0
8452,1116,551,1
8467,242,256,1
8471,1055,313,0
8477,718,674,1
8545,718,665,0
8589,1035,637,0
8593,853,181,1
8613,203,706,0
8624,566,595,1
8631,1140,541,1
8646,718,668,0
8647,642,515,1
8647,643,515,1
8657,1,413,0
8668,825,234,1
8672,901,52,0
8686,242,444,0
8718,401,61,0
8751,894,67,0
8753,718,675,1
8754,640,477,0
8759,1252,109,1
8786,857,147,0
8809,1242,392,1
8813,794,272,0
8826,868,563,0
8833,643,516,1
8873,222,585,0
8917,868,562,0
8918,301,606,0
8920,410,475,0
8926,1193,169,1
8929,642,516,1
8933,718,662,0
8942,1249,51,1
8951,201,718,0
8958,1144,526,0
8973,1140,532,0
8975,1178,467,0
8979,658,44,0
8981,718,676,1
8987,1051,460,0
8995,223,403,0
9016,802,277,1
9044,993,666,0
9054,643,517,1
9057,566,596,1
9057,893,70,0
9063,1182,161,0
9076,858,146,0
9082,362,621,1
9107,831,199,0
9124,642,510,0
9127,1178,130,0
9137,908,64,1
9143,1253,145,1
9153,858,170,1
9165,460,688,0
9176,642,517,1
9183,827,232,1
9187,1184,607,0
9192,308,592,1
9223,718,677,1
9228,443,409,0
9241,643,518,1
9253,1188,120,1
9254,361,462,1
9255,642,511,0
9262,718,670,0
9275,1196,375,0
9277,642,509,0
9285,1159,8,0
9290,1203,391,1
9316,786,286,0
9321,718,671,0
9329,62,403,1
9351,958,496,1
9358,676,537,1
9362,853,180,1
9362,1245,364,1
9367,843,176,0
9389,1173,95,0
9393,882,94,0
9401,915,19,0
9434,719,404,0
9435,643,519,1
9453,1200,295,1
9454,1279,218,0
9458,718,678,1
9470,804,253,0
9475,1242,387,1
9475,1147,521,0
9480,393,272,1
9481,1137,706,0
9505,718,669,0
9507,642,508,0
9521,744,378,1
9536,1194,331,0
9554,1250,286,1
9577,764,630,0
9579,1253,172,1
9587,858,586,0
9591,1248,316,1
9593,1181,68,1
9603,792,275,0
9609,958,339,0
9614,391,388,1
9618,718,672,0
9621,193,145,1
9627,1193,307,0
9628,477,469,0
9635,371,249,1
9662,307,593,1
9668,1243,402,1
9669,165,376,0
9670,307,592,1
9678,643,520,1
9687,427,380,1
9701,1105,575,0
9707,1194,181,1
9707,203,712,0
9709,497,200,0
9716,24,7,0
9743,530,332,0
9751,718,679,1
9757,922,3,0
9762,324,124,0
9769,1253,184,1
9771,790,632,0
9773,1055,313,0
9779,290,631,1
9782,927,22,1
9782,117,396,0
9799,817,286,0
9809,805,251,0
9811,1263,368,0
9811,1191,266,0
9825,746,374,1
9835,882,93,0
9844,217,689,1
9853,1248,26,1
9868,1181,461,0
9870,566,589,0
9876,1184,453,0
9891,21,620,0
