t,x,y,p
0,760,710,0
51,839,306,1
123,762,705,1
255,838,304,1
274,770,704,0
355,839,307,1
593,1161,562,0
610,766,683,1
629,770,703,1
737,1111,576,1
772,853,634,1
928,840,308,1
952,838,302,0
983,761,706,1
1041,275,277,0
1068,840,310,0
1114,839,305,1
1135,758,710,1
1202,771,704,1
1433,759,706,1
1544,766,704,1
1587,916,557,1
1596,416,355,1
1613,840,311,0
1613,841,312,0
1628,312,148,1
1732,841,311,0
1770,841,313,0
1778,769,706,0
1818,840,309,1
1847,772,701,1
1849,1112,572,0
1869,765,704,1
1955,771,702,1
2008,416,354,1
2035,839,308,1
2038,704,133,1
2171,842,316,1
2263,415,350,1
2308,771,698,1
2366,763,705,1
2439,788,395,1
2547,1250,561,0
2555,751,703,0
2602,760,705,1
2664,841,314,1
2688,773,699,0
2868,840,307,1
3036,843,318,0
3073,757,707,0
3088,843,319,0
3095,772,702,1
3102,772,700,1
3236,842,315,1
3310,842,317,0
3316,771,700,0
3426,768,708,1
3490,733,718,0
3566,1162,564,0
3580,842,314,0
3590,843,320,1
3606,741,719,0
3625,1068,590,0
3843,761,707,1
3941,844,323,0
4023,844,322,0
4083,771,699,1
4199,844,321,0
4215,843,321,1
4440,845,325,0
4440,845,324,1
4611,845,326,0
4646,416,361,0
4659,906,679,1
4669,844,320,1
4826,845,327,1
4874,772,698,1
4948,844,324,1
4952,755,710,0
4963,772,703,0
4969,1111,574,1
5170,773,703,0
5188,771,701,1
5192,846,328,1
5295,846,329,1
5343,846,327,0
5348,729,702,1
5552,417,370,1
5623,736,360,0
5648,732,718,1
5680,417,367,1
5718,799,714,0
5742,416,360,0
5754,846,330,0
5842,1111,575,1
5858,847,331,0
5868,856,633,1
5966,857,632,1
6072,417,368,0
6146,847,332,1
6192,1219,522,0
6195,847,333,0
6219,1165,508,0
6264,846,331,1
6345,417,371,1
6436,773,698,0
6522,847,334,0
6632,848,333,0
6653,848,334,0
6669,770,683,0
6674,417,373,1
6694,804,713,1
6726,1160,553,0
6804,848,336,0
6818,848,335,0
6961,770,702,0
6987,847,335,0
7018,854,634,0
7036,417,372,1
7051,771,704,0
7267,1162,563,1
7271,773,700,1
7306,773,701,0
7344,845,328,0
7461,849,338,0
7489,849,339,1
7573,771,703,0
7670,417,374,1
7693,849,337,1
7698,416,380,1
7701,938,55,0
7703,847,330,1
7765,848,337,0
7860,849,340,0
7974,763,704,0
7992,859,630,0
8023,774,700,0
8048,849,341,0
8127,1074,562,1
8158,850,341,1
8192,793,716,1
8226,850,342,1
8351,848,338,1
8473,850,343,0
8504,418,381,0
8566,850,340,1
8644,859,631,0
8655,851,344,0
8669,418,383,0
8688,418,382,0
8718,773,702,0
8752,1161,559,1
8818,851,345,1
8846,461,11,1
8898,768,706,1
8971,1163,564,1
9029,772,697,0
9174,769,703,1
9301,851,346,0
9301,762,705,1
9517,758,708,0
9528,850,344,1
9595,852,348,1
9611,850,339,1
9645,766,709,0
9659,769,704,0
9692,852,349,1
9754,855,634,0
9757,849,627,0
9787,852,347,1
9804,851,347,1
9853,772,699,0
9906,1079,603,1
9912,855,633,0
10069,852,350,1
10246,799,715,0
10307,762,707,0
10373,772,682,0
10464,853,351,1
10575,762,709,0
10657,853,352,1
10679,419,388,1
10697,770,703,1
10754,418,386,0
10765,420,394,1
10830,772,700,0
10947,853,350,0
11030,854,354,0
11042,853,353,0
11195,854,355,0
11196,853,354,1
11202,852,351,0
11303,419,392,1
11430,854,353,1
11455,1159,547,1
11478,851,348,0
11603,854,356,1
11703,1172,540,1
11719,855,358,0
11783,768,683,1
11800,742,718,1
11813,772,701,0
11815,854,357,1
11817,807,711,0
11825,419,393,0
11826,763,707,1
11876,855,357,0
11968,760,709,1
12037,855,359,0
12162,419,391,1
12192,792,714,1
12199,858,632,1
12243,762,704,1
12257,807,712,0
12444,419,395,0
12452,419,398,1
12549,771,707,0
12674,771,705,1
12693,855,356,1
12704,771,698,1
12734,803,714,0
12754,925,476,1
12769,856,362,1
12914,806,712,1
13026,856,363,0
13037,856,360,0
13067,853,355,1
13187,809,711,1
13252,855,361,0
13282,759,712,1
13297,855,360,1
13306,774,699,0
13352,857,365,0
13492,856,361,1
13523,771,697,1
13553,774,701,1
13621,1041,213,1
13675,857,366,0
13720,1264,613,1
13729,768,710,0
13815,857,364,0
13824,420,404,0
13929,857,367,1
13944,856,364,1
14209,766,684,0
14261,858,369,0
14336,858,368,1
14342,420,405,1
14359,858,367,1
14393,420,403,0
14498,769,683,0
14656,773,704,0
14674,858,370,0
14755,415,349,1
14804,1220,530,0
14940,858,366,0
14948,1018,633,0
15008,963,632,1
15028,808,711,1
15088,420,407,1
15134,859,371,1
15178,771,682,1
15242,859,372,1
15247,859,370,1
15262,772,695,1
15324,858,371,1
15436,420,402,1
15457,859,374,0
15473,859,373,1
15724,741,718,0
15757,860,375,0
15931,773,706,0
15975,860,376,0
16011,773,705,0
16053,420,406,0
16195,1221,530,0
16198,597,659,0
16362,774,677,1
16363,773,676,1
16416,769,695,0
16475,743,717,0
16547,772,696,1
16555,860,377,1
16647,762,706,0
16676,859,375,1
16789,861,379,1
16847,772,698,1
16860,772,709,0
17017,860,374,0
17044,862,380,1
17136,861,380,0
17200,860,629,1
17238,860,378,0
17250,773,680,1
17259,421,415,0
17438,862,382,0
17572,861,378,1
17644,861,381,1
17732,808,710,1
17822,1272,177,1
17880,862,384,0
17910,863,385,1
17939,421,418,1
17962,421,420,0
17973,772,702,1
18027,863,386,1
18100,421,419,0
18176,862,383,0
18385,993,321,0
18416,863,387,1
18538,773,677,1
18600,421,412,1
18601,863,388,0
18715,862,385,0
18779,861,377,1
18865,743,714,0
18934,864,389,1
19011,864,387,1
19073,864,390,0
19136,864,388,1
19174,421,421,0
19175,864,391,0
19195,1161,564,0
19456,422,427,0
19478,774,678,1
19478,422,425,0
19570,865,392,1
19686,773,699,1
19751,768,707,0
19971,422,426,0
20061,865,394,1
20075,865,393,1
20110,761,700,1
20174,756,719,1
20256,862,381,0
20347,865,395,1
20377,774,680,1
20412,773,679,1
20644,866,396,1
20713,866,394,1
